Close,Date
-109.04819,1980-12-12
-109.05488,1980-12-15
-109.063805,1980-12-16
-109.06102,1980-12-17
-109.05767,1980-12-18
-109.05042,1980-12-19
-109.04428,1980-12-22
-109.0387,1980-12-23
-109.03144,1980-12-24
-109.01805,1980-12-26
-109.01582,1980-12-29
-109.01973,1980-12-30
-109.024185,1980-12-31
-109.022514,1981-01-02
-109.02587,1981-01-05
-109.03256,1981-01-06
-109.0387,1981-01-07
-109.04149,1981-01-08
-109.03423,1981-01-09
-109.03535,1981-01-12
-109.04037,1981-01-13
-109.03982,1981-01-14
-109.037025,1981-01-15
-109.03815,1981-01-16
-109.02977,1981-01-19
-109.03423,1981-01-20
-109.03144,1981-01-21
-109.02977,1981-01-22
-109.03033,1981-01-23
-109.03256,1981-01-26
-109.033676,1981-01-27
-109.03815,1981-01-28
-109.04317,1981-01-29
-109.05042,1981-01-30
-109.05767,1981-02-02
-109.05321,1981-02-03
-109.048744,1981-02-04
-109.048744,1981-02-05
-109.04819,1981-02-06
-109.05488,1981-02-09
-109.05488,1981-02-10
-109.058784,1981-02-11
-109.059906,1981-02-12
-109.0627,1981-02-13
-109.059906,1981-02-17
-109.05488,1981-02-18
-109.06213,1981-02-19
-109.068275,1981-02-20
-109.066605,1981-02-23
-109.07051,1981-02-24
-109.063805,1981-02-25
-109.06213,1981-02-26
-109.058235,1981-02-27
-109.05767,1981-03-02
-109.05935,1981-03-03
-109.06046,1981-03-04
-109.06102,1981-03-05
-109.06213,1981-03-06
-109.07106,1981-03-09
-109.07608,1981-03-10
-109.08,1981-03-11
-109.07608,1981-03-12
-109.0772,1981-03-13
-109.073296,1981-03-16
-109.068275,1981-03-17
-109.061584,1981-03-18
-109.0627,1981-03-19
-109.061584,1981-03-20
-109.05711,1981-03-23
-109.05767,1981-03-24
-109.059906,1981-03-25
-109.06213,1981-03-26
-109.06604,1981-03-27
-109.06604,1981-03-30
-109.06716,1981-03-31
-109.068275,1981-04-01
-109.058784,1981-04-02
-109.058235,1981-04-03
-109.06046,1981-04-06
-109.061584,1981-04-07
-109.056,1981-04-08
-109.053764,1981-04-09
-109.05209,1981-04-10
-109.05209,1981-04-13
-109.05209,1981-04-14
-109.058235,1981-04-15
-109.064926,1981-04-16
-109.061584,1981-04-20
-109.053764,1981-04-21
-109.04931,1981-04-22
-109.04595,1981-04-23
-109.04707,1981-04-24
-109.04819,1981-04-27
-109.05042,1981-04-28
-109.05209,1981-04-29
-109.04986,1981-04-30
-109.04986,1981-05-01
-109.05042,1981-05-04
-109.05098,1981-05-05
-109.05433,1981-05-06
-109.05264,1981-05-07
-109.05153,1981-05-08
-109.05433,1981-05-11
-109.05433,1981-05-12
-109.05488,1981-05-13
-109.056564,1981-05-14
-109.053764,1981-05-15
-109.05153,1981-05-18
-109.053764,1981-05-19
-109.04986,1981-05-20
-109.0426,1981-05-21
-109.03647,1981-05-22
-109.037025,1981-05-26
-109.029205,1981-05-27
-109.029205,1981-05-28
-109.028656,1981-05-29
-109.028656,1981-06-01
-109.03591,1981-06-02
-109.03591,1981-06-03
-109.03313,1981-06-04
-109.03535,1981-06-05
-109.04037,1981-06-08
-109.03758,1981-06-09
-109.03591,1981-06-10
-109.02977,1981-06-11
-109.03144,1981-06-12
-109.032005,1981-06-15
-109.0348,1981-06-16
-109.037025,1981-06-17
-109.03758,1981-06-18
-109.04149,1981-06-19
-109.04651,1981-06-22
-109.04428,1981-06-23
-109.04762,1981-06-24
-109.04484,1981-06-25
-109.04651,1981-06-26
-109.05098,1981-06-29
-109.06046,1981-06-30
-109.061584,1981-07-01
-109.061584,1981-07-02
-109.06549,1981-07-06
-109.06437,1981-07-07
-109.059906,1981-07-08
-109.068825,1981-07-09
-109.0772,1981-07-10
-109.07497,1981-07-13
-109.07051,1981-07-14
-109.06772,1981-07-15
-109.064926,1981-07-16
-109.06102,1981-07-17
-109.068825,1981-07-20
-109.06939,1981-07-21
-109.07553,1981-07-22
-109.07275,1981-07-23
-109.06939,1981-07-24
-109.064926,1981-07-27
-109.068825,1981-07-28
-109.07051,1981-07-29
-109.066605,1981-07-30
-109.064926,1981-07-31
-109.06604,1981-08-03
-109.06437,1981-08-04
-109.06102,1981-08-05
-109.063805,1981-08-06
-109.063805,1981-08-07
-109.063805,1981-08-10
-109.06716,1981-08-11
-109.06939,1981-08-12
-109.07275,1981-08-13
-109.07442,1981-08-14
-109.07777,1981-08-17
-109.08,1981-08-18
-109.08111,1981-08-19
-109.08,1981-08-20
-109.08669,1981-08-21
-109.09228,1981-08-24
-109.09004,1981-08-25
-109.09171,1981-08-26
-109.091156,1981-08-27
-109.08669,1981-08-28
-109.08669,1981-08-31
-109.08111,1981-09-01
-109.07944,1981-09-02
-109.08446,1981-09-03
-109.08557,1981-09-04
-109.08836,1981-09-08
-109.08836,1981-09-09
-109.08781,1981-09-10
-109.08893,1981-09-11
-109.09171,1981-09-14
-109.09395,1981-09-15
-109.09562,1981-09-16
-109.097855,1981-09-17
-109.0973,1981-09-18
-109.09673,1981-09-21
-109.101204,1981-09-22
-109.102875,1981-09-23
-109.10344,1981-09-24
-109.112915,1981-09-25
-109.112366,1981-09-28
-109.10901,1981-09-29
-109.10846,1981-09-30
-109.10846,1981-10-01
-109.102875,1981-10-02
-109.10064,1981-10-05
-109.101204,1981-10-06
-109.09673,1981-10-07
-109.09395,1981-10-08
-109.09338,1981-10-09
-109.0906,1981-10-12
-109.0906,1981-10-13
-109.09562,1981-10-14
-109.09395,1981-10-15
-109.09506,1981-10-16
-109.09338,1981-10-19
-109.08893,1981-10-20
-109.08893,1981-10-21
-109.08948,1981-10-22
-109.09171,1981-10-23
-109.09171,1981-10-26
-109.09004,1981-10-27
-109.08724,1981-10-28
-109.08836,1981-10-29
-109.08724,1981-10-30
-109.08724,1981-11-02
-109.08836,1981-11-03
-109.0906,1981-11-04
-109.09673,1981-11-05
-109.09618,1981-11-06
-109.09506,1981-11-09
-109.0945,1981-11-10
-109.09228,1981-11-11
-109.08948,1981-11-12
-109.09562,1981-11-13
-109.09673,1981-11-16
-109.09506,1981-11-17
-109.09228,1981-11-18
-109.09228,1981-11-19
