Close,Date
-103.730316,2004-08-19
-103.531815,2004-08-20
-103.50466,2004-08-23
-103.61749,2004-08-24
-103.58935,2004-08-25
-103.54178,2004-08-26
-103.58561,2004-08-27
-103.68873,2004-08-30
-103.679756,2004-08-31
-103.73256,2004-09-01
-103.70118,2004-09-02
-103.73853,2004-09-03
-103.699425,2004-09-07
-103.681496,2004-09-08
-103.68125,2004-09-09
-103.60603,2004-09-10
-103.55198,2004-09-13
-103.4526,2004-09-14
-103.43991,2004-09-15
-103.39084,2004-09-16
-103.30316,2004-09-17
-103.25659,2004-09-20
-103.29445,2004-09-21
-103.281,2004-09-22
-103.22023,2004-09-23
-103.24489,2004-09-24
-103.28399,2004-09-27
-103.06979,2004-09-28
-102.96468,2004-09-29
-103.00155,2004-09-30
-102.92733,2004-10-01
-102.865555,2004-10-04
-102.78311,2004-10-05
-102.81525,2004-10-06
-102.77116,2004-10-07
-102.79906,2004-10-08
-102.86057,2004-10-11
-102.80728,2004-10-12
-102.7201,2004-10-13
-102.6927,2004-10-14
-102.64015,2004-10-15
-102.51437,2004-10-18
-102.544754,2004-10-19
-102.730316,2004-10-20
-102.508896,2004-10-21
-101.93479,2004-10-22
-101.56194,2004-10-25
-101.701416,2004-10-26
-101.597565,2004-10-27
-101.41499,2004-10-28
-101.48125,2004-10-29
-101.34699,2004-11-01
-101.375885,2004-11-02
-101.4556,2004-11-03
-101.62919,2004-11-04
-102.011505,2004-11-05
-101.93181,2004-11-08
-102.0277,2004-11-09
-102.048615,2004-11-10
-101.671036,2004-11-11
-101.696434,2004-11-12
-101.62496,2004-11-15
-101.93206,2004-11-16
-101.93305,2004-11-17
-102.05659,2004-11-18
-102.010254,2004-11-19
-102.117355,2004-11-22
-102.05709,2004-11-23
-101.87676,2004-11-24
-101.76144,2004-11-26
-101.7201,2004-11-29
-101.69694,2004-11-30
-101.747246,2004-12-01
-101.7612,2004-12-02
-101.73629,2004-12-03
-101.83865,2004-12-06
-101.9597,2004-12-07
-101.99582,2004-12-08
-101.90989,2004-12-09
-101.95422,2004-12-10
-101.98411,2004-12-13
-101.778885,2004-12-14
-101.75173,2004-12-15
-101.83417,2004-12-16
-101.74426,2004-12-17
-101.62122,2004-12-20
-101.65285,2004-12-21
-101.58934,2004-12-22
-101.54949,2004-12-23
-101.44961,2004-12-27
-101.428444,2004-12-28
-101.42496,2004-12-29
-101.30789,2004-12-30
-101.42769,2004-12-31
-101.180626,2005-01-03
-101.3851,2005-01-04
-101.40976,2005-01-05
-101.533295,2005-01-06
-101.4013,2005-01-07
-101.37116,2005-01-10
-101.40901,2005-01-11
-101.36319,2005-01-12
-101.364426,2005-01-13
-101.24886,2005-01-14
-101.150986,2005-01-18
-101.31537,2005-01-19
-101.39954,2005-01-20
-101.54003,2005-01-21
-101.72832,2005-01-24
-101.817986,2005-01-25
-101.51611,2005-01-26
-101.545006,2005-01-27
-101.48872,2005-01-28
-101.35721,2005-01-31
-101.44987,2005-02-01
-101.09968,2005-02-02
-100.97763,2005-02-03
-101.13953,2005-02-04
-101.34699,2005-02-07
-101.28199,2005-02-08
-101.45783,2005-02-09
-101.5475,2005-02-10
-101.56194,2005-02-11
-101.422714,2005-02-14
-101.36693,2005-02-15
-101.28772,2005-02-16
-101.30042,2005-02-17
-101.29918,2005-02-18
-101.463066,2005-02-22
-101.398796,2005-02-23
-101.52483,2005-02-24
-101.60005,2005-02-25
-101.54725,2005-02-28
-101.595314,2005-03-01
-101.61723,2005-03-02
-101.571655,2005-03-03
-101.599304,2005-03-04
-101.526825,2005-03-07
-101.61674,2005-03-08
-101.71263,2005-03-09
-101.74675,2005-03-10
-101.80105,2005-03-11
-101.87103,2005-03-14
-101.78087,2005-03-15
-101.855835,2005-03-16
-101.76393,2005-03-17
-101.745255,2005-03-18
-101.724335,2005-03-21
-101.78112,2005-03-22
-101.77165,2005-03-23
-101.76493,2005-03-24
-101.710884,2005-03-28
-101.756966,2005-03-29
-101.73505,2005-03-30
-101.73355,2005-03-31
-101.745255,2005-04-01
-101.6145,2005-04-04
-101.5328,2005-04-05
-101.51661,2005-04-06
-101.403534,2005-04-07
-101.44613,2005-04-08
-101.41674,2005-04-11
-101.39855,2005-04-12
-101.42421,2005-04-13
-101.461075,2005-04-14
-101.62172,2005-04-15
-101.57265,2005-04-18
-101.46232,2005-04-19
-101.29544,2005-04-20
-101.14301,2005-04-21
-100.85434,2005-04-22
-100.66206,2005-04-25
-100.78112,2005-04-26
-100.75547,2005-04-27
-100.76368,2005-04-28
-100.749985,2005-04-29
-100.692955,2005-05-02
-100.59582,2005-05-03
-100.53828,2005-05-04
-100.57613,2005-05-05
-100.55024,2005-05-06
-100.600044,2005-05-09
-100.55571,2005-05-10
-100.46879,2005-05-11
-100.5328,2005-05-12
-100.519844,2005-05-13
-100.47477,2005-05-16
-100.42296,2005-05-17
-100.27278,2005-05-18
-100.27227,2005-05-19
-100.21175,2005-05-20
-99.86705,2005-05-23
-99.85335,2005-05-24
-99.73354,2005-05-25
-99.77364,2005-05-26
-99.60428,2005-05-27
-99.323586,2005-05-31
-99.05634,2005-06-01
-99.05883,2005-06-02
-99.24911,2005-06-03
-98.983116,2005-06-06
-98.92882,2005-06-07
-99.26654,2005-06-08
-99.09843,2005-06-09
-99.19331,2005-06-10
-99.18709,2005-06-13
-99.296684,2005-06-14
-99.38511,2005-06-15
-99.31935,2005-06-16
-99.248116,2005-06-17
-99.088715,2005-06-20
-99.06032,2005-06-21
-99.02395,2005-06-22
-99.01375,2005-06-23
-98.82595,2005-06-24
-98.655334,2005-06-27
-98.70764,2005-06-28
-98.93878,2005-06-29
-98.90316,2005-06-30
-98.97539,2005-07-01
-98.86431,2005-07-05
-98.968666,2005-07-06
-98.86854,2005-07-07
-98.85135,2005-07-08
-98.92309,2005-07-11
-98.96219,2005-07-12
-98.78584,2005-07-13
-98.73529,2005-07-14
-98.72781,2005-07-15
-98.768906,2005-07-18
-98.51088,2005-07-19
-98.45858,2005-07-20
-98.410255,2005-07-21
-98.69768,2005-07-22
-98.86082,2005-07-25
-98.85484,2005-07-26
-98.833916,2005-07-27
-98.91935,2005-07-28
-99.06231,2005-07-29
-98.966415,2005-08-01
-98.777626,2005-08-02
-98.8247,2005-08-03
-98.81399,2005-08-04
-98.94799,2005-08-05
-98.97539,2005-08-08
-98.96742,2005-08-09
-99.11412,2005-08-10
-99.15472,2005-08-11
-99.0135,2005-08-12
-99.15596,2005-08-15
-99.11487,2005-08-16
-99.12856,2005-08-17
-99.25583,2005-08-18
-99.25559,2005-08-19
-99.40478,2005-08-22
-99.266045,2005-08-23
-99.191574,2005-08-24
-99.19108,2005-08-25
-99.16642,2005-08-26
-99.04512,2005-08-29
-99.07451,2005-08-30
-99.10615,2005-08-31
-99.09992,2005-09-01
