Close,Date
-285.95,2006-05-25
-286.057,2006-05-26
-286.15002,2006-05-30
-286.05603,2006-05-31
-285.799,2006-06-01
-285.851,2006-06-02
-285.635,2006-06-05
-285.72003,2006-06-06
-285.79,2006-06-07
-285.778,2006-06-08
-285.772,2006-06-09
-285.855,2006-06-12
-286.00003,2006-06-13
-286.03802,2006-06-14
-285.95502,2006-06-15
-286.04803,2006-06-16
-286.11603,2006-06-19
-286.148,2006-06-20
-286.02002,2006-06-21
-285.89,2006-06-22
-285.855,2006-06-23
-285.80002,2006-06-26
-285.81903,2006-06-27
-285.854,2006-06-28
-285.75,2006-06-29
-285.75,2006-06-30
-285.82,2006-07-03
-285.79,2006-07-05
-285.87003,2006-07-06
-285.93802,2006-07-07
-285.90103,2006-07-10
-285.91504,2006-07-11
-285.995,2006-07-12
-286.078,2006-07-13
-286.15503,2006-07-14
-286.151,2006-07-17
-286.16,2006-07-18
-286.02203,2006-07-19
-285.995,2006-07-20
-286.02203,2006-07-21
-286.05002,2006-07-24
-285.94202,2006-07-25
-285.88202,2006-07-26
-285.898,2006-07-27
-285.92,2006-07-28
-285.963,2006-07-31
-286.05002,2006-08-01
-285.54803,2006-08-02
-285.55103,2006-08-03
-285.545,2006-08-04
-285.44,2006-08-07
-285.29303,2006-08-08
-285.265,2006-08-09
-285.194,2006-08-10
-285.182,2006-08-11
-285.127,2006-08-14
-285.101,2006-08-15
-285.12302,2006-08-16
-285.20404,2006-08-17
-285.20502,2006-08-18
-285.12402,2006-08-21
-285.027,2006-08-22
-285.09003,2006-08-23
-284.98502,2006-08-24
-285.05002,2006-08-25
-285.04803,2006-08-28
-285.01505,2006-08-29
-285.02502,2006-08-30
-284.96002,2006-08-31
-284.89502,2006-09-01
-284.86502,2006-09-05
-284.66202,2006-09-06
-284.53802,2006-09-07
-284.575,2006-09-08
-284.36304,2006-09-11
-284.34003,2006-09-12
-284.415,2006-09-13
-284.27103,2006-09-14
-284.053,2006-09-15
-284.03802,2006-09-18
-284.06604,2006-09-19
-283.89502,2006-09-20
-283.64502,2006-09-21
-283.957,2006-09-22
-284.11002,2006-09-25
-283.95,2006-09-26
-283.76602,2006-09-27
-283.68503,2006-09-28
-283.515,2006-09-29
-283.55402,2006-10-02
-283.582,2006-10-03
-283.588,2006-10-04
-283.29102,2006-10-05
-283.03503,2006-10-06
-283.27002,2006-10-09
-283.359,2006-10-10
-283.60004,2006-10-11
-283.509,2006-10-12
-283.54102,2006-10-13
-283.42004,2006-10-16
-283.60004,2006-10-17
-283.505,2006-10-18
-283.31702,2006-10-19
-283.42804,2006-10-20
-283.525,2006-10-23
-283.43002,2006-10-24
-283.475,2006-10-25
-283.33002,2006-10-26
-283.286,2006-10-27
-283.29602,2006-10-30
-283.14,2006-10-31
-282.043,2006-11-01
-281.79,2006-11-02
-281.59903,2006-11-03
-280.92,2006-11-06
-281.30002,2006-11-07
-281.70602,2006-11-08
-281.73,2006-11-09
-281.63004,2006-11-10
-280.89502,2006-11-13
-281.03,2006-11-14
-281.02002,2006-11-15
-281.09802,2006-11-16
-281.071,2006-11-17
-280.931,2006-11-20
-280.49,2006-11-21
-280.22403,2006-11-22
-280.002,2006-11-24
-280.651,2006-11-27
-280.47504,2006-11-28
-280.63004,2006-11-29
-280.375,2006-11-30
-280.433,2006-12-01
-280.54202,2006-12-04
-280.62503,2006-12-05
-280.637,2006-12-06
-280.58203,2006-12-07
-280.54004,2006-12-08
-280.64,2006-12-11
-280.97504,2006-12-12
-280.97302,2006-12-13
-280.99002,2006-12-14
-280.931,2006-12-15
-281.26004,2006-12-18
-280.81003,2006-12-19
-280.799,2006-12-20
-280.979,2006-12-21
-280.915,2006-12-22
-281.036,2006-12-26
-280.613,2006-12-27
-280.65402,2006-12-28
-280.70102,2006-12-29
-280.90903,2007-01-03
-280.43604,2007-01-04
-280.44403,2007-01-05
-280.44202,2007-01-08
-279.97604,2007-01-09
-280.07602,2007-01-10
-280.00003,2007-01-11
-280.02502,2007-01-12
-279.95,2007-01-16
-279.646,2007-01-17
-280.301,2007-01-18
-280.047,2007-01-19
-279.78903,2007-01-22
-279.709,2007-01-23
-279.40802,2007-01-24
-279.76303,2007-01-25
-279.69803,2007-01-26
-279.57602,2007-01-29
-279.475,2007-01-30
-279.39502,2007-01-31
-279.358,2007-02-01
-279.454,2007-02-02
-279.52502,2007-02-05
-279.49503,2007-02-06
-279.36002,2007-02-07
-279.07602,2007-02-08
-280.19003,2007-02-09
-280.342,2007-02-12
