Close,Date
-258.1606,1986-03-13
-258.15714,1986-03-14
-258.1554,1986-03-17
-258.15802,1986-03-18
-258.15976,1986-03-19
-258.16235,1986-03-20
-258.16498,1986-03-21
-258.16754,1986-03-24
-258.1658,1986-03-25
-258.1632,1986-03-26
-258.16147,1986-03-27
-258.16235,1986-03-31
-258.1632,1986-04-01
-258.16235,1986-04-02
-258.16147,1986-04-03
-258.16147,1986-04-04
-258.1632,1986-04-07
-258.16235,1986-04-08
-258.1606,1986-04-09
-258.15976,1986-04-10
-258.15802,1986-04-11
-258.15714,1986-04-14
-258.15714,1986-04-15
-258.1537,1986-04-16
-258.1528,1986-04-17
-258.15628,1986-04-18
-258.15628,1986-04-21
-258.15802,1986-04-22
-258.15756,1986-04-23
-258.14758,1986-04-24
-258.14066,1986-04-25
-258.13977,1986-04-28
-258.14325,1986-04-29
-258.14584,1986-04-30
-258.14758,1986-05-01
-258.14758,1986-05-02
-258.14847,1986-05-05
-258.14758,1986-05-06
-258.14758,1986-05-07
-258.14673,1986-05-08
-258.14758,1986-05-09
-258.14673,1986-05-12
-258.14584,1986-05-13
-258.14673,1986-05-14
-258.14673,1986-05-15
-258.14584,1986-05-16
-258.14758,1986-05-19
-258.14847,1986-05-20
-258.15018,1986-05-21
-258.15018,1986-05-22
-258.15018,1986-05-23
-258.14673,1986-05-27
-258.14325,1986-05-28
-258.14066,1986-05-29
-258.1363,1986-05-30
-258.13977,1986-06-02
-258.13977,1986-06-03
-258.14066,1986-06-04
-258.1389,1986-06-05
-258.1389,1986-06-06
-258.1441,1986-06-09
-258.1441,1986-06-10
-258.1441,1986-06-11
-258.14847,1986-06-12
-258.14847,1986-06-13
-258.14932,1986-06-16
-258.14758,1986-06-17
-258.14847,1986-06-18
-258.14932,1986-06-19
-258.1489,1986-06-20
-258.14758,1986-06-23
-258.14847,1986-06-24
-258.15018,1986-06-25
-258.1537,1986-06-26
-258.1545,1986-06-27
-258.15106,1986-06-30
-258.15106,1986-07-01
-258.15106,1986-07-02
-258.14932,1986-07-03
-258.1537,1986-07-07
-258.15628,1986-07-08
-258.1606,1986-07-09
-258.1632,1986-07-10
-258.1606,1986-07-11
-258.1619,1986-07-14
-258.1606,1986-07-15
-258.15714,1986-07-16
-258.1554,1986-07-17
-258.1545,1986-07-18
-258.1545,1986-07-21
-258.15106,1986-07-22
-258.1537,1986-07-23
-258.15018,1986-07-24
-258.14932,1986-07-25
-258.15192,1986-07-28
-258.1545,1986-07-29
-258.15802,1986-07-30
-258.15887,1986-07-31
-258.15976,1986-08-01
-258.15976,1986-08-04
-258.1606,1986-08-05
-258.16147,1986-08-06
-258.16235,1986-08-07
-258.16147,1986-08-08
-258.15802,1986-08-11
-258.1554,1986-08-12
-258.1545,1986-08-13
-258.15192,1986-08-14
-258.1515,1986-08-15
-258.1528,1986-08-18
-258.1528,1986-08-19
-258.1537,1986-08-20
-258.1537,1986-08-21
-258.1554,1986-08-22
-258.1554,1986-08-25
-258.15628,1986-08-26
-258.15628,1986-08-27
-258.15628,1986-08-28
-258.15887,1986-08-29
-258.16147,1986-09-02
-258.1641,1986-09-03
-258.15628,1986-09-04
-258.15192,1986-09-05
-258.1528,1986-09-08
-258.15106,1986-09-09
-258.1528,1986-09-10
-258.15714,1986-09-11
-258.15976,1986-09-12
-258.15802,1986-09-15
-258.15802,1986-09-16
-258.1554,1986-09-17
-258.1545,1986-09-18
-258.1545,1986-09-19
-258.1554,1986-09-22
-258.1537,1986-09-23
-258.15497,1986-09-24
-258.15714,1986-09-25
-258.15714,1986-09-26
-258.15976,1986-09-29
-258.15976,1986-09-30
-258.1606,1986-10-01
-258.1606,1986-10-02
-258.15976,1986-10-03
-258.15192,1986-10-06
-258.14975,1986-10-07
-258.14673,1986-10-08
-258.14325,1986-10-09
-258.13806,1986-10-10
-258.14325,1986-10-13
-258.1415,1986-10-14
-258.1363,1986-10-15
-258.1363,1986-10-16
-258.13284,1986-10-17
-258.13196,1986-10-20
-258.12677,1986-10-21
-258.12677,1986-10-22
-258.12677,1986-10-23
-258.12762,1986-10-24
-258.12326,1986-10-27
-258.12024,1986-10-28
-258.12415,1986-10-29
-258.12155,1986-10-30
-258.12326,1986-10-31
-258.1207,1986-11-03
-258.11548,1986-11-04
-258.1068,1986-11-05
-258.1033,1986-11-06
-258.1042,1986-11-07
-258.11026,1986-11-10
-258.1094,1986-11-11
-258.1094,1986-11-12
-258.11157,1986-11-13
-258.11026,1986-11-14
-258.1094,1986-11-17
-258.11722,1986-11-18
-258.112,1986-11-19
-258.1007,1986-11-20
-258.09552,1986-11-21
-258.0825,1986-11-24
-258.08075,1986-11-25
-258.0825,1986-11-26
-258.08508,1986-11-28
-258.08856,1986-12-01
-258.08768,1986-12-02
-258.089,1986-12-03
-258.08682,1986-12-04
-258.08768,1986-12-05
-258.08945,1986-12-08
-258.0903,1986-12-09
-258.089,1986-12-10
-258.08768,1986-12-11
-258.09378,1986-12-12
-258.0981,1986-12-15
-258.09637,1986-12-16
-258.09464,1986-12-17
-258.09332,1986-12-18
-258.08945,1986-12-19
-258.08768,1986-12-22
-258.08597,1986-12-23
-258.0864,1986-12-24
-258.08682,1986-12-26
-258.09378,1986-12-29
-258.092,1986-12-30
-258.0903,1986-12-31
-258.092,1987-01-02
-258.0825,1987-01-05
-258.0799,1987-01-06
-258.0703,1987-01-07
-258.06427,1987-01-08
-258.05643,1987-01-09
-258.04343,1987-01-12
-258.0495,1987-01-13
-258.0495,1987-01-14
-258.03824,1987-01-15
-258.04343,1987-01-16
-258.0356,1987-01-19
-258.03214,1987-01-20
-258.0226,1987-01-21
-257.99915,1987-01-22
-258.02344,1987-01-23
-258.0191,1987-01-26
-258.00958,1987-01-27
-258.0087,1987-01-28
-258.0191,1987-01-29
-258.00394,1987-01-30
-258.00436,1987-02-02
-258.0087,1987-02-03
-258.0078,1987-02-04
-258.00958,1987-02-05
-258.01868,1987-02-06
-258.02084,1987-02-09
-258.02,1987-02-10
-258.0087,1987-02-11
-257.99136,1987-02-12
-257.99396,1987-02-13
-257.9922,1987-02-17
-258.0087,1987-02-18
-258.0191,1987-02-19
-258.02173,1987-02-20
-258.007,1987-02-23
-257.9948,1987-02-24
-257.99915,1987-02-25
-257.9896,1987-02-26
-257.99136,1987-02-27
-257.99915,1987-03-02
-257.99915,1987-03-03
-257.9809,1987-03-04
-257.9679,1987-03-05
-257.96878,1987-03-06
-257.97397,1987-03-09
-257.96527,1987-03-10
-257.96094,1987-03-11
-257.95966,1987-03-12
-257.9705,1987-03-13
-257.97223,1987-03-16
-257.9627,1987-03-17
-257.94708,1987-03-18
