Date,Open,High,Low,Close,Adj Close,Volume
25/5/2006,4.03,4.605,4.02,4.6,4.215997,395343000
26/5/2006,4.63,4.674,4.411,4.493,4.117929,103044000
30/5/2006,4.497,4.498,4.285,4.4,4.032695,49898000
31/5/2006,4.435,4.536,4.435,4.494,4.118846,30002000
1/6/2006,4.493,4.81,4.49,4.751,4.354391,62344000
2/6/2006,4.85,4.87,4.679,4.699,4.306733,37253000
5/6/2006,4.705,4.925,4.7,4.915,4.504702,37188000
6/6/2006,4.998,5.063,4.78,4.83,4.426798,49045000
7/6/2006,4.833,4.84,4.675,4.76,4.36264,25013000
8/6/2006,4.76,4.772,4.55,4.772,4.373639,34439000
9/6/2006,4.88,4.88,4.768,4.778,4.379136,13372000
12/6/2006,4.8,4.825,4.63,4.695,4.303066,14546000
13/6/2006,4.62,4.735,4.53,4.55,4.17017,16716000
14/6/2006,4.49,4.545,4.444,4.512,4.135345,15971000
15/6/2006,4.54,4.612,4.513,4.595,4.211414,16500000
16/6/2006,4.55,4.6,4.5,4.502,4.126176,12280000
19/6/2006,4.545,4.545,4.41,4.434,4.063856,11509000
20/6/2006,4.474,4.5,4.347,4.402,4.034526,23792000
21/6/2006,4.402,4.588,4.4,4.53,4.151842,18063000
22/6/2006,4.64,4.695,4.588,4.66,4.270987,13038000
23/6/2006,4.699,4.793,4.687,4.695,4.303066,11612000
26/6/2006,4.695,4.75,4.643,4.75,4.353475,8565000
27/6/2006,4.75,4.803,4.725,4.731,4.336061,9826000
28/6/2006,4.685,4.74,4.65,4.696,4.303984,8756000
29/6/2006,4.695,4.809,4.695,4.8,4.399302,14470000
30/6/2006,4.765,4.8,4.66,4.8,4.399302,25964000
3/7/2006,4.79,4.8,4.681,4.73,4.335146,7029000
5/7/2006,4.74,4.784,4.671,4.76,4.36264,13266000
6/7/2006,4.725,4.735,4.679,4.68,4.28932,8097000
7/7/2006,4.675,4.685,4.575,4.612,4.226996,8380000
10/7/2006,4.62,4.657,4.612,4.649,4.260908,4978000
11/7/2006,4.649,4.649,4.53,4.635,4.248077,8079000
12/7/2006,4.64,4.64,4.554,4.555,4.174755,7672000
13/7/2006,4.518,4.518,4.43,4.472,4.098682,16625000
14/7/2006,4.462,4.468,4.39,4.395,4.02811,9663000
17/7/2006,4.391,4.417,4.375,4.399,4.031777,6458000
18/7/2006,4.399,4.41,4.367,4.39,4.023528,12483000
19/7/2006,4.391,4.545,4.38,4.528,4.150009,15840000
20/7/2006,4.54,4.578,4.51,4.555,4.174755,8829000
21/7/2006,4.555,4.555,4.477,4.528,4.150009,8510000
24/7/2006,4.545,4.553,4.499,4.5,4.124345,5017000
25/7/2006,4.52,4.64,4.516,4.608,4.223331,6900000
26/7/2006,4.614,4.785,4.58,4.668,4.278321,10338000
27/7/2006,4.69,4.717,4.652,4.652,4.263656,6009000
28/7/2006,4.651,4.68,4.626,4.63,4.243493,4339000
31/7/2006,4.63,4.641,4.586,4.587,4.204083,4616000
1/8/2006,4.592,4.592,4.47,4.5,4.124345,7390000
2/8/2006,4.799,5.005,4.731,5.002,4.58444,53372000
3/8/2006,4.913,5.024,4.865,4.999,4.581692,21689000
4/8/2006,5.03,5.15,4.999,5.005,4.587188,14216000
7/8/2006,5.05,5.13,5.025,5.11,4.683424,6918000
8/8/2006,5.11,5.267,5.105,5.257,4.818152,14073000
9/8/2006,5.3,5.45,5.2,5.285,4.843812,15043000
10/8/2006,5.22,5.391,5.21,5.356,4.908887,8725000
11/8/2006,5.35,5.445,5.325,5.368,4.919886,9078000
14/8/2006,5.375,5.454,5.352,5.423,4.970294,6314000
15/8/2006,5.47,5.493,5.426,5.449,4.994125,8553000
16/8/2006,5.465,5.543,5.416,5.427,4.973961,15344000
17/8/2006,5.42,5.424,5.319,5.346,4.899723,10216000
18/8/2006,5.31,5.365,5.246,5.345,4.898807,9343000
21/8/2006,5.33,5.555,5.28,5.426,4.973045,12487000
22/8/2006,5.42,5.55,5.42,5.523,5.061947,9761000
23/8/2006,5.548,5.575,5.454,5.46,5.004206,10439000
24/8/2006,5.49,5.585,5.482,5.565,5.100439,5420000
25/8/2006,5.575,5.585,5.493,5.5,5.040867,8016000
28/8/2006,5.485,5.545,5.477,5.502,5.042699,3748000
29/8/2006,5.525,5.565,5.516,5.535,5.072945,3211000
30/8/2006,5.548,5.578,5.517,5.525,5.06378,5801000
31/8/2006,5.525,5.617,5.525,5.59,5.123353,7023000
1/9/2006,5.597,5.75,5.597,5.655,5.182928,20559000
5/9/2006,5.69,5.724,5.625,5.685,5.210424,4618000
6/9/2006,5.69,5.888,5.657,5.888,5.396477,15694000
7/9/2006,5.851,6.087,5.85,6.012,5.510127,26549000
8/9/2006,6.1,6.125,5.929,5.975,5.476214,15176000
11/9/2006,5.975,6.199,5.96,6.187,5.670517,17064000
12/9/2006,6.099,6.215,6.099,6.21,5.691596,16992000
13/9/2006,6.2,6.23,6.09,6.135,5.622858,12355000
14/9/2006,6.085,6.325,6.07,6.279,5.754837,13010000
15/9/2006,6.279,6.52,6.279,6.497,5.954636,19314000
18/9/2006,6.574,6.755,6.43,6.512,5.968384,23656000
19/9/2006,6.5,6.615,6.43,6.484,5.942724,17263000
20/9/2006,6.51,6.67,6.45,6.655,6.099449,13476000
21/9/2006,6.753,6.96,6.701,6.905,6.328579,29063000
22/9/2006,6.9,6.95,6.508,6.593,6.042625,29874000
25/9/2006,6.525,6.57,6.22,6.44,5.902397,35677000
26/9/2006,6.34,6.733,6.276,6.6,6.049041,39969000
27/9/2006,6.7,6.79,6.545,6.784,6.21768,19633000
28/9/2006,6.765,6.891,6.765,6.865,6.291918,13395000
29/9/2006,6.847,7.045,6.756,7.035,6.447727,20056000
2/10/2006,7.035,7.035,6.966,6.996,6.411981,17393000
3/10/2006,6.84,7.09,6.84,6.968,6.38632,16733000
4/10/2006,7,7.041,6.875,6.962,6.38082,13679000
5/10/2006,6.978,7.29,6.901,7.259,6.661639,25756000
6/10/2006,7.24,7.585,7.201,7.515,6.89657,35410000
9/10/2006,7.19,7.323,7.095,7.28,6.68091,37084000
10/10/2006,7.115,7.325,7.05,7.191,6.599235,26764000
11/10/2006,7.095,7.1,6.828,6.95,6.378067,35483000
12/10/2006,6.91,7.082,6.872,7.041,6.461581,15117000
13/10/2006,7.1,7.17,6.982,7.009,6.432211,11321000
16/10/2006,7,7.171,6.985,7.13,6.543253,8802000
17/10/2006,7.11,7.12,6.927,6.95,6.378067,9865000
18/10/2006,6.961,7.118,6.954,7.045,6.465247,8562000
19/10/2006,7.045,7.29,6.975,7.233,6.637778,13414000
20/10/2006,7.28,7.285,7.1,7.122,6.535913,5264000
23/10/2006,7.135,7.162,6.98,7.025,6.446896,7389000
24/10/2006,7.015,7.15,6.992,7.12,6.534077,8512000
25/10/2006,7.125,7.125,7.05,7.075,6.492781,11349000
26/10/2006,7.085,7.4,6.989,7.22,6.625852,21152000
27/10/2006,7.1,7.3,6.9,7.264,6.666228,26741000
30/10/2006,7.262,7.36,7.175,7.254,6.65705,17471000
31/10/2006,7.27,7.625,7.194,7.41,6.800211,35930000
1/11/2006,8.175,8.75,8.175,8.507,7.806941,141283000
2/11/2006,8.382,8.808,8.25,8.76,8.039116,62536000
3/11/2006,8.766,8.975,8.677,8.951,8.214401,42476000
6/11/2006,9,9.714,8.999,9.63,8.837526,97749000
7/11/2006,9.574,9.617,9.24,9.25,8.488791,71623000
8/11/2006,9.2,9.2,8.805,8.844,8.116205,64172000
9/11/2006,9.13,9.235,8.82,8.82,8.094181,62982000
10/11/2006,8.864,9.05,8.776,8.92,8.185952,27782000
13/11/2006,9.371,9.799,9.329,9.655,8.860466,114166000
14/11/2006,9.68,9.724,9.439,9.52,8.736574,38524000
15/11/2006,9.521,9.965,9.5,9.53,8.745753,56606000
16/11/2006,9.625,9.72,9.39,9.452,8.674172,35647000
17/11/2006,9.335,9.538,9.206,9.479,8.69895,28516000
20/11/2006,9.398,9.621,9.372,9.619,8.827426,22904000
21/11/2006,9.699,10.083,9.65,10.06,9.232138,59494000
22/11/2006,10.175,10.393,10.082,10.326,9.476249,42648000
24/11/2006,10.19,10.585,10.05,10.548,9.679976,21600000
27/11/2006,10.6,10.86,9.899,9.899,9.084389,73643000
28/11/2006,9.75,10.1,9.55,10.075,9.245904,61511000
29/11/2006,10.238,10.268,9.685,9.92,9.103659,48996000
30/11/2006,9.927,10.202,9.652,10.175,9.337678,41254000
1/12/2006,10.222,10.245,9.909,10.117,9.284446,35210000
4/12/2006,10.1,10.149,9.925,10.008,9.18442,20276000
5/12/2006,10,10.225,9.9,9.925,9.108246,21264000
6/12/2006,10.119,10.2,9.85,9.913,9.097236,30071000
7/12/2006,9.93,10.093,9.862,9.968,9.147711,21763000
8/12/2006,9.968,10.08,9.893,10.01,9.186253,15976000
11/12/2006,10.01,10.224,9.894,9.91,9.094485,30088000
12/12/2006,9.871,9.91,9.427,9.575,8.787048,46602000
13/12/2006,9.698,9.765,9.503,9.577,8.788886,18912000
14/12/2006,9.577,9.648,9.48,9.56,8.773285,24111000
15/12/2006,9.632,9.633,9.535,9.619,8.827426,14585000
18/12/2006,9.6,9.6,9.255,9.29,8.5255,26059000
19/12/2006,9.245,9.752,9.05,9.74,8.93847,31954000
20/12/2006,9.74,9.945,9.625,9.751,8.948569,28211000
21/12/2006,9.581,9.635,9.389,9.571,8.783381,31084000
22/12/2006,9.57,9.7,9.518,9.635,8.842111,13194000
26/12/2006,9.65,9.675,9.438,9.514,8.731069,10227000
27/12/2006,9.49,9.949,9.45,9.937,9.119261,19987000
28/12/2006,9.979,9.979,9.756,9.896,9.081632,22386000
29/12/2006,9.88,9.962,9.826,9.849,9.038502,10887000
3/1/2007,9.955,9.968,9.563,9.641,8.847612,26289000
4/1/2007,9.69,10.185,9.53,10.114,9.281694,27024000
5/1/2007,10.099,10.22,9.9,10.106,9.274352,29632000
8/1/2007,9.901,10.225,9.9,10.108,9.276183,16006000
9/1/2007,10.11,10.575,10.06,10.574,9.703843,36952000
10/1/2007,10.562,10.65,10.3,10.474,9.620253,35099000
11/1/2007,10.52,10.803,10.354,10.55,9.69006,37671000
12/1/2007,10.575,10.725,10.485,10.525,9.667102,18233000
16/1/2007,10.53,10.747,10.463,10.6,9.735987,18028000
17/1/2007,10.7,11.022,10.577,10.904,10.015204,45903000
18/1/2007,10.995,10.999,10.18,10.249,9.413602,42787000
19/1/2007,10.25,10.535,10.2,10.503,9.646891,30029000
22/1/2007,10.599,10.8,10.45,10.761,9.883862,21033000
23/1/2007,10.871,10.914,10.702,10.841,9.957341,21414000
24/1/2007,10.89,11.308,10.87,11.142,10.23381,31643000
25/1/2007,11.225,11.228,10.697,10.787,9.907743,21785000
26/1/2007,10.919,10.988,10.65,10.852,9.967445,17501000
29/1/2007,10.9,11.1,10.87,10.974,10.079501,12105000
30/1/2007,10.964,11.161,10.924,11.075,10.172267,11493000
31/1/2007,11.105,11.217,11.075,11.155,10.245746,13665000
1/2/2007,11.214,11.298,11.161,11.192,10.279734,16003000
2/2/2007,11.249,11.27,11.06,11.096,10.191557,11290000
5/2/2007,11.05,11.095,10.989,11.025,10.126347,9910000
6/2/2007,11.074,11.154,10.99,11.055,10.153899,10621000
7/2/2007,11.05,11.263,11.033,11.19,10.277898,21132000
8/2/2007,11.2,11.543,11.105,11.474,10.538745,37535000
9/2/2007,11.803,11.807,9.963,10.36,9.515553,282063000
12/2/2007,10.197,10.275,9.861,10.208,9.375937,82177000
13/2/2007,10.4,10.504,10.286,10.469,9.615663,73214000
